Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS,Chrome 122.0.0.0,,,05-03-2024 14:06:42,05-03-2024 14:07:20,38.187s,PASSED
,,,,,,,
Test Cases/Ex1,Chrome 122.0.0.0,,,05-03-2024 14:06:42,05-03-2024 14:06:46,4.640s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 14:06:42,05-03-2024 14:06:43,1.311s,PASSED
"navigateToUrl(""http://127.0.0.1/customerphp/customer.php"")",Chrome 122.0.0.0,,,05-03-2024 14:06:43,05-03-2024 14:06:43,0.160s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_First Name_firstName""), ""johnjohn"")",Chrome 122.0.0.0,,,05-03-2024 14:06:43,05-03-2024 14:06:44,0.754s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Last Name_lastName""), ""canonc"")",Chrome 122.0.0.0,,,05-03-2024 14:06:44,05-03-2024 14:06:45,0.566s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Age_age""), ""2"")",Chrome 122.0.0.0,,,05-03-2024 14:06:45,05-03-2024 14:06:45,0.555s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Form/button_Submit""))",Chrome 122.0.0.0,,,05-03-2024 14:06:45,05-03-2024 14:06:46,0.338s,PASSED
"verifyTextPresent(""First Name"", false)",Chrome 122.0.0.0,,,05-03-2024 14:06:46,05-03-2024 14:06:46,0.294s,PASSED
"takeFullPageScreenshot(""imgg/img1.png"")",Chrome 122.0.0.0,,,05-03-2024 14:06:46,05-03-2024 14:06:46,0.374s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 14:06:46,05-03-2024 14:06:46,0.094s,PASSED
,,,,,,,
Test Cases/Ex8,Chrome 122.0.0.0,,,05-03-2024 14:06:46,05-03-2024 14:06:50,4.020s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 14:06:46,05-03-2024 14:06:47,0.554s,PASSED
"navigateToUrl(""http://127.0.0.1/customerphp/customer.php"")",Chrome 122.0.0.0,,,05-03-2024 14:06:47,05-03-2024 14:06:47,0.145s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Form/form_First Name                            _0beb76""))",Chrome 122.0.0.0,,,05-03-2024 14:06:47,05-03-2024 14:06:48,0.513s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_First Name_firstName""), ""johnjohn"")",Chrome 122.0.0.0,,,05-03-2024 14:06:48,05-03-2024 14:06:48,0.596s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Last Name_lastName""), ""cano"")",Chrome 122.0.0.0,,,05-03-2024 14:06:48,05-03-2024 14:06:49,0.575s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Age_age""), ""75"")",Chrome 122.0.0.0,,,05-03-2024 14:06:49,05-03-2024 14:06:49,0.569s,PASSED
"click(findTestObject(""Page_Customer Form/button_Submit""))",Chrome 122.0.0.0,,,05-03-2024 14:06:49,05-03-2024 14:06:50,0.309s,PASSED
"verifyTextPresent(""First Name"", false)",Chrome 122.0.0.0,,,05-03-2024 14:06:50,05-03-2024 14:06:50,0.282s,PASSED
"takeFullPageScreenshot(""imgg/img6.png"")",Chrome 122.0.0.0,,,05-03-2024 14:06:50,05-03-2024 14:06:50,0.318s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 14:06:50,05-03-2024 14:06:50,0.108s,PASSED
,,,,,,,
Test Cases/Ex6,Chrome 122.0.0.0,,,05-03-2024 14:06:50,05-03-2024 14:06:55,4.707s,PASSED
"openBrowser("""")",Chrome 122.0.0.0,,,05-03-2024 14:06:50,05-03-2024 14:06:51,0.624s,PASSED
"navigateToUrl(""http://127.0.0.1/customerphp/customer.php"")",Chrome 122.0.0.0,,,05-03-2024 14:06:51,05-03-2024 14:06:51,0.149s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Form/form_First Name                            _0beb76""))",Chrome 122.0.0.0,,,05-03-2024 14:06:51,05-03-2024 14:06:52,0.537s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Form/input_First Name_firstName""))",Chrome 122.0.0.0,,,05-03-2024 14:06:52,05-03-2024 14:06:52,0.316s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Age_age""), ""75"")",Chrome 122.0.0.0,,,05-03-2024 14:06:52,05-03-2024 14:06:53,0.625s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Form/div_Last Name""))",Chrome 122.0.0.0,,,05-03-2024 14:06:53,05-03-2024 14:06:53,0.287s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_First Name_firstName""), ""john"")",Chrome 122.0.0.0,,,05-03-2024 14:06:53,05-03-2024 14:06:53,0.582s,PASSED
"setText(findTestObject(""Object Repository/Page_Customer Form/input_Last Name_lastName""), ""canoncan"")",Chrome 122.0.0.0,,,05-03-2024 14:06:53,05-03-2024 14:06:54,0.561s,PASSED
"click(findTestObject(""Object Repository/Page_Customer Form/button_Submit""))",Chrome 122.0.0.0,,,05-03-2024 14:06:54,05-03-2024 14:06:54,0.299s,PASSED
"verifyTextPresent(""First Name"", false)",Chrome 122.0.0.0,,,05-03-2024 14:06:54,05-03-2024 14:06:55,0.266s,PASSED
"takeFullPageScreenshot(""imgg/img6.png"")",Chrome 122.0.0.0,,,05-03-2024 14:06:55,05-03-2024 14:06:55,0.297s,PASSED
closeBrowser(),Chrome 122.0.0.0,,,05-03-2024 14:06:55,05-03-2024 14:06:55,0.114s,PASSED
,,,,,,,
